# alvos.txt -- todo quadro que NAO esta inteiro, classificado por onde esta o dano.
# Gerado em 2026-09-18 sobre o patches.txt de hoje (output/reparado.mp4).
#
# "Inteiro" aqui exige TRES coisas: o `mapa` chega a 8160, o ffmpeg emite imagem
# para o pacote (ffprobe -show_entries frame=pkt_pos), e o cabecalho do slice
# passa na validacao sintatica do `-bsf:v trace_headers`. 2.006 quadros passam;
# estes 1.439 nao.
#
# CLASSES
#   A_cabecalho   cabecalho do slice invalido pela norma (435). E o caso do frame
#                 11: alinhamento CABAC em 0, reordenacao com codigo proibido,
#                 deblocking/cabac_init fora da faixa. O ffmpeg rejeita a maioria
#                 sem imagem nenhuma, e o `mapa` os contava como inteiros.
#   B_inicio      cabecalho valido, para antes de 512 bytes do payload (407)
#   C_meio        para entre 512 B e 2 KB (57)
#   D_tarde       para depois de 2 KB (517)
#   ?_sem_imagem  nao emite imagem e o trace_headers nao acusa nada (23)
#
# colunas: quadro tipo tamanho mb_parada(mapa) consumo(bytes,-1=sem erro de MB)
#          emite_imagem(s/n) trocas_nos_5_primeiros_bytes campo_invalido classe
852 B 14176 2028 4128 s 0 - D_tarde
853 B 12408 8160 -1 s 1 cabac_alignment_one_bit A_cabecalho
858 P 37470 3 30 s 0 cabac_alignment_one_bit A_cabecalho
859 B 14640 8160 -1 s 2 cabac_alignment_one_bit A_cabecalho
860 P 44965 3120 17692 s 0 - D_tarde
862 B 16061 3498 7774 s 0 - D_tarde
863 P 45894 8160 -1 s 5 cabac_alignment_one_bit A_cabecalho
866 B 15352 4500 10001 s 0 - D_tarde
867 P 45832 7 262 s 2 - B_inicio
868 B 20284 367 41 s 0 - B_inicio
870 B 21028 817 23 s 2 - B_inicio
872 IDR 95589 2040 18583 s 0 - D_tarde
877 P 35184 2 33 s 1 cabac_alignment_one_bit A_cabecalho
878 B 13226 5536 10182 s 0 - D_tarde
879 B 16122 960 24 s 1 - B_inicio
881 P 46855 1200 3557 s 0 - D_tarde
883 B 18776 8160 -1 n 3 slice_alpha_c0_offset_div2 A_cabecalho
885 P 55212 1321 4740 s 0 - D_tarde
886 B 17465 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
888 B 19024 3680 8117 s 0 - D_tarde
889 P 53087 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
891 B 18680 2200 4054 s 0 - D_tarde
892 B 15129 883 23 s 1 - B_inicio
893 P 54770 2880 20416 s 0 - D_tarde
895 B 18645 63 203 s 3 - B_inicio
898 B 17296 3456 7509 s 0 - D_tarde
900 B 15510 3818 7453 s 0 - D_tarde
901 IDR 92082 0 24 s 2 - B_inicio
905 B 10000 8160 -1 n 0 - ?_sem_imagem
915 B 19501 8160 -1 n 1 memory_management_control_operation A_cabecalho
922 P 58367 267 52 s 4 - B_inicio
924 B 19929 2819 7993 s 0 - D_tarde
925 B 17764 8160 -1 n 1 modification_of_pic_nums_idc A_cabecalho
927 B 17598 4410 11732 s 0 - D_tarde
928 B 19192 64 425 s 3 - B_inicio
930 IDR 102366 0 19 s 0 - B_inicio
931 P 34230 8160 -1 n 0 long_term_pic_num A_cabecalho
932 B 11625 2856 4431 s 0 - D_tarde
933 B 13576 41 72 s 2 - B_inicio
934 B 12528 999 72 s 1 - B_inicio
937 B 16455 5340 12374 s 0 - D_tarde
938 B 13675 509 54 s 1 - B_inicio
940 B 19690 5112 14042 s 0 - D_tarde
941 P 23356 8160 -1 n 2 long_term_pic_num A_cabecalho
942 B 20322 7202 20235 s 0 - D_tarde
943 P 42641 8160 -1 n 3 cabac_init_idc A_cabecalho
946 B 19281 8160 -1 n 3 modification_of_pic_nums_idc A_cabecalho
947 B 19841 6123 17398 s 0 - D_tarde
950 B 17837 4079 9198 s 0 - D_tarde
951 B 20478 8160 -1 n 3 long_term_pic_num A_cabecalho
958 P 39260 8160 -1 n 0 cabac_init_idc A_cabecalho
962 P 50225 1075 1166 s 0 - C_meio
964 B 16198 777 42 s 0 - B_inicio
967 B 14299 4207 6136 s 0 - D_tarde
968 B 15599 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
970 P 50159 1012 77 s 0 - B_inicio
971 B 14345 391 43 s 5 - B_inicio
973 B 15074 6696 13984 s 0 - D_tarde
974 P 49878 10 89 s 0 - B_inicio
975 B 17113 8160 -1 n 1 cabac_init_idc A_cabecalho
978 P 51261 8 66 s 1 - B_inicio
979 B 16759 8160 -1 n 0 modification_of_pic_nums_idc A_cabecalho
980 B 17016 6504 14592 s 0 - D_tarde
